population	serotype	average	Set1	Set2	Set3
Prog	AAV1_P5	0.11189301745649798	0.11111839046848111	0.09263267916836283	0.13192798273264997
Prog	AAV9_A2	0.09735105605988302	0.07945713968514248	0.10571171386423758	0.10688431463026898
Prog	AAVpo1_P2	0.09698508661053358	0.24285249817849275	0.018335325613521206	0.029767436039586793
Prog	AAV1_P4	0.08435483438324454	0.0896758168236904	0.07271215057548057	0.09067653575056263
Prog	AAV1_P2	0.07313543479544929	0	0.21790627877175106	0.0015000256145967896
Prog	AAV7_P4	0.06840993361503817	0.04831384450606159	0.055650969493465714	0.10126498684558717
Prog	AAV6_WT	0.05452621109450831	0.0442686291102381	0.06168161268587121	0.05762839148741562
Prog	AAV1_A6	0.04371996794747241	0.07312652314330569	0.027450749587733664	0.030582631111377878
Prog	AAVrh10_A2	0.0326993403439831	0.022752217889918967	0.04187670842297521	0.03346909471905513
Prog	AAV7_A2	0.03093368940517301	0.024770552261846983	0.03133986579725567	0.03669065015641638
Prog	AAV6_P4	0.024381733964943763	4.0586037743794756e-4	0.0055674295754196855	0.06717191194197365
Prog	AAV9_P4	0.0232876318477155	0.02548219560348931	0.017828374795403227	0.026552325144253965
Prog	AAV7_P2	0.022857399947755663	0.02340449039610939	0.024200863591306795	0.020966845855850805
Prog	AAV1_WT	0.022591043707164755	0.013698766978540696	0.025483786454193188	0.028590577688760388
Prog	AAVrh10_P2	0.020667431364263817	0.00895512851288192	0.01901458488808388	0.03403258069182565
Prog	AAV9_A6	0.0200114960413572	0.014507545445181727	0.018331419018010726	0.027195523660879146
Prog	AAV7_A6	0.013587552917603812	0.007774842114578222	0.015432962379683059	0.017554854258550155
Prog	AAV1_A2	0.012727762234748455	1.411797228949466e-4	0.030411839723940053	0.0076302672574103635
Prog	AAVpo1_P4	0.012333326244932451	0.02736588787878007	0.0053200788679822544	0.00431401198803503
Prog	AAV8_A2	0.011104469631473171	0.01133467096824332	0.010230166783246203	0.01174857114292999
Prog	AAV8_P4	0.009496153068875971	0.007736568025126646	0.009698550351421885	0.011053340830079382
Prog	AAV8_P2	0.00928530260196847	0.008278102573318003	1.521320179201337e-4	0.019425673214667274
Prog	AAV7_P5	0.008965696849275208	0.006178131270748065	0.011459426362680344	0.009259532914397215
Prog	AAV5_A2	0.008348264636655701	0.006940647843584453	0.008858360267137926	0.009245785799244727
Prog	AAVpo1_A6	0.007798228958066823	0.007937309238902578	0.005865070784499628	0.009592306850798262
Prog	AAV8_P5	0.007579919126692641	0.009850670067200595	0.006877856870999073	0.0060112304418782556
Prog	AAVrh10_P4	0.006940757065973822	0.004950120576347438	0.003614699929607745	0.012257450691966284
Prog	AAV9_A1	0.006501369986918923	0.005894969134756507	0.0069933777780830965	0.006615763047917167
Prog	AAV9_P5	0.005614791713325996	0.0052928531720434855	0.0074994419840917785	0.004052079983842724
Prog	AAV7_A1	0.0053130403984948575	0.006356145221263085	0.0020049299167764576	0.00757804605744503
Prog	AAV5_A6	0.004834167237171047	0.005837429454643653	0.005053011338112588	0.003612060918756901
Prog	AAVrh10_P5	0.004234982720070399	0.004928228416159927	0.006735391641921018	0.0010413281021302513
Prog	AAV1_A1	0.00421964564933053	7.908487815796435e-5	0.009902568715197804	0.002677283354635821
Prog	AAVpo1_A2	0.0028317520563211573	0.0031626215211412257	1.306042404931369e-4	0.0052020304073291095
Prog	AAVrh10_A6	0.002820868114509953	0.005143125861166138	7.140002232781272e-4	0.002605478259085594
Prog	AAV9_P2	0.0028095797194057936	0.007197444624424922	9.258503564601088e-4	3.054441773323493e-4
Prog	AAV3_P4	0.0027855466537458975	0.0019334468477054739	0.0015183070433527005	0.004904886070179518
Prog	AAV4_A1	0.002667144782786979	0.006111755175253753	8.519295115676822e-4	0.0010377496615395017
Prog	AAVrh10_A1	0.0025318348312982357	0.006080771091298286	3.92658965689588e-4	0.001122074436906833
Prog	AAV5_P4	0.0019036949269250248	0.0025830108014828733	0.0022061228437354244	9.21951135556777e-4
Prog	AAVpo1_P5	0.001727387410186373	0.0016327680275737494	0.0011941658690190714	0.0023552283339662986
Prog	AAV2_P2	0.0014837339388887594	0.004297412695955245	3.289814196243751e-6	1.5049930651478907e-4
Prog	AAV2_WT	0.0014357624058659005	0.0012929834063118233	0.0023058981327951965	7.084056784906814e-4
Prog	AAV8_A6	0.0013464672624278805	3.632481977126171e-6	0.0012740350950809674	0.002761734210225548
Prog	AAVrh10_WT	0.0013138463443620203	0.0011971745076044453	0.0013990969408056598	0.0013452675846759557
Prog	AAV2_A2	0.0012774924634694706	0.003702320120558439	1.1543880495852314e-4	1.4718464891449334e-5
Prog	AAV7_WT	0.0010514577392126937	3.080840477760706e-4	0.0013466359911015072	0.0014996531787605032
Prog	AAV2_A1	0.001011573569107949	0.0012276165742582863	1.1080129983391869e-5	0.0017960240030821684
Prog	AAV9_WT	9.710669738906653e-4	0.0011963490692706805	7.284088510648946e-4	9.884430013364206e-4
Prog	AAV5_P5	8.159036002153835e-4	0.0011862370824824464	4.791400658960388e-4	7.823336522676653e-4
Prog	AAV12_A6	4.489054153952127e-4	0.001346716246185638	0	0
Prog	AAV3_WT	3.9397077697527573e-4	1.7045222353769503e-4	1.646467623952663e-5	9.949954311486056e-4
Prog	AAVpo1_A1	3.020113376527483e-4	3.777993893226978e-6	8.967295828089167e-4	5.526436256101226e-6
Prog	AAV4mut_WT	2.9905187712183815e-4	8.802996207312633e-5	5.299290685086946e-4	2.791966007836935e-4
Prog	AAV5_A1	2.0176814065089014e-4	1.417791160395036e-4	3.466436932514299e-4	1.168816126617369e-4
Prog	AAV2_P4	1.846223623003172e-4	2.6717522217055325e-6	5.997276559219399e-6	5.451980581200267e-4
Prog	AAV6_P2	1.2703540950071717e-4	0	3.811062285021515e-4	0
Prog	AAV4_P5	1.217622520625599e-4	1.7012830354968445e-5	2.475191204783354e-5	3.235220137848777e-4
Prog	AAV4mut_A6	8.711196004736132e-5	7.605866667732459e-5	9.369259472584572e-5	9.158461873891367e-5
Prog	AAV6_A2	7.922228190723715e-5	0	2.3766684572171145e-4	0
Prog	AAV3_P5	7.659989707939592e-5	2.8801265850970847e-6	7.696445299821267e-7	2.2614992012310854e-4
Prog	AAV5_WT	6.441062094740058e-5	1.8449046922944446e-4	4.3138058951862016e-6	4.427587717571105e-6
Prog	AAV8_A1	5.1735881883647724e-5	0	2.708492719995941e-6	1.5249915293094723e-4
Prog	AAV3_A6	3.983214461406937e-5	1.356833785532999e-6	2.030454618415043e-6	1.1610914543826006e-4
Prog	AAV4mut_P4	1.4837175046091219e-5	1.953435164430173e-5	1.3287490244106346e-5	1.1689683249865583e-5
Prog	AAV4mut_P2	1.353969493856198e-5	0	0	4.061908481568594e-5
Prog	AAV2_P5	9.071567935646149e-6	7.884630915877247e-6	1.1345265599177003e-5	7.984807291884199e-6
Prog	AAV3_P2	3.316454280452354e-6	9.949362841357062e-6	0	0
Prog	AAV2_A6	2.4306293258138454e-6	4.211560206160187e-6	0	3.0803277712813496e-6
Prog	AAV4mut_A1	2.4043437601667722e-6	0	0	7.213031280500316e-6
Prog	AAVpo1_WT	5.073573921131128e-7	0	1.5220721763393384e-6	0
Prog	AAV12_A1	0	0	0	0
Prog	AAV12_A2	0	0	0	0
Prog	AAV12_P2	0	0	0	0
Prog	AAV12_P4	0	0	0	0
Prog	AAV12_P5	0	0	0	0
Prog	AAV12_WT	0	0	0	0
Prog	AAV3_A1	0	0	0	0
Prog	AAV3_A2	0	0	0	0
Prog	AAV4_A2	0	0	0	0
Prog	AAV4_A6	0	0	0	0
Prog	AAV4mut_A2	0	0	0	0
Prog	AAV4mut_P5	0	0	0	0
Prog	AAV4_P2	0	0	0	0
Prog	AAV4_P4	0	0	0	0
Prog	AAV4_WT	0	0	0	0
Prog	AAV5_P2	0	0	0	0
Prog	AAV6_A1	0	0	0	0
Prog	AAV6_A6	0	0	0	0
Prog	AAV6_P5	0	0	0	0
Prog	AAV8_WT	0	0	0	0
