population	serotype	average	Set1	Set3
TAP	AAV9_A2	0.5457679445346584	0.9985031372353812	0.09303275183393558
TAP	AAV9_P4	0.11187364764344555	1.500970189880395e-4	0.22359719826790306
TAP	AAV7_A2	0.0804948932580075	5.727432805168922e-5	0.1609325121879633
TAP	AAV1wt	0.048236831902573975	5.424314477296262e-5	0.09641942066037498
TAP	AAVrh10_A2	0.04097904709315029	8.750266886359171e-5	0.08187059151743699
TAP	AAV7_A1	0.037500457574709975	1.0815974816887613e-4	0.07489275540125108
TAP	AAV1_P5	0.0303904943490828	7.820783760612807e-5	0.060702780860559476
TAP	AAVpo1_A2	0.018405794506438193	4.2787402161410546e-5	0.036768801610714975
TAP	AAV1_P4	0.01551042225942522	9.284627097379711e-5	0.030927998247876645
TAP	AAVAH4-N9	0.010214766086601143	2.2758301825692777e-5	0.020406773871376592
TAP	AAV7_P5	0.009380104827811774	1.8500252778249252e-5	0.018741709402845298
TAP	AAVAH4-N4	0.009007470788605311	5.8375793522525694e-6	0.01800910399785837
TAP	AAV7_P2	0.006118658139316601	2.214305697894698e-5	0.012215173221654255
TAP	AAV5_P5	0.006084293356688468	3.526537726792065e-6	0.012165060175650144
TAP	AAV5_A2	0.005128954811777966	6.284250891124198e-5	0.01019506711464469
TAP	AAV9_A6	0.004384051602808214	8.8672739418074e-5	0.008679430466198354
TAP	AAV7_A6	0.004283644278006712	1.1153997624518307e-5	0.008556134558388906
TAP	AAV5_A6	0.0038648086578726244	7.208194547025171e-5	0.007657535370274997
TAP	AAVAH4-N12	0.002533810319914553	7.813149394383963e-7	0.005066839324889667
TAP	AAVB1	0.0024262722685157766	2.342383585328984e-5	0.004829120701178263
TAP	AAV7_P4	0.0023984187934631895	4.23046758752409e-5	0.004754532911051138
TAP	AAV9_A1	0.001811707957888419	5.911759607458698e-5	0.0035642983197022512
TAP	AAVJEA3-H4	0.0013649923206726835	9.292588819618023e-6	0.0027206920525257488
TAP	AAV8_P5	0.0012686022901125132	2.5529477400464963e-6	0.00253465163248498
TAP	AAV7wt	6.449050480358301e-5	3.745749849263782e-5	9.152351111452821e-5
TAP	AAV9_P5	4.8861053502590886e-5	2.100796610081465e-5	7.671414090436712e-5
TAP	AAVJEA2-H8	4.7559065475636065e-5	2.7822217210259618e-5	6.729591374101251e-5
TAP	AAVpo1_A6	3.7808254665418095e-5	2.285077836494401e-5	5.276573096589218e-5
TAP	AAV4_P5	3.692577047872107e-5	4.698483996169368e-5	2.686670099574846e-5
TAP	AAV4_P4	2.5887797366458476e-5	9.841069412497939e-6	4.1934525320419016e-5
TAP	AAV1_A2	2.5472403150166946e-5	2.4126037123081375e-5	2.6818769177252513e-5
TAP	AAV4_A1	2.336583737539458e-5	1.5540572549719174e-5	3.119110220106999e-5
TAP	AAV2wt	2.142059283655271e-5	1.3060430148370887e-5	2.9780755524734537e-5
TAP	AAVJEA2-H17	2.0091573914659335e-5	1.533064612336461e-5	2.4852501705954056e-5
TAP	AAV2_A1	1.897495958630433e-5	2.8424278877070664e-6	3.510749128490159e-5
TAP	AAV1_A6	1.4394297307881329e-5	6.325801580516564e-6	2.2462793035246093e-5
TAP	AAVJEA2-H11	1.3783602417996987e-5	1.5557533796280903e-5	1.2009671039713072e-5
TAP	AAV6wt	1.3632318969421008e-5	7.081200473826907e-6	2.018343746501511e-5
TAP	AAV9wt	1.2966351096836958e-5	8.43337914468029e-6	1.7499323048993626e-5
TAP	AAV9K449R_PHP.S	1.0848797636942446e-5	7.0349192422933185e-6	1.4662676031591571e-5
TAP	AAVAH3-3	1.0237798074736382e-5	9.312184541532488e-6	1.1163411607940275e-5
TAP	AAVAH4-1	1.0228022612377507e-5	5.312865605003961e-6	1.5143179619751053e-5
TAP	AAVAH3-5	9.446354348495161e-6	3.7678779126118325e-6	1.5124830784378488e-5
TAP	AAV8_P4	8.390188781746968e-6	8.26917160554044e-6	8.511205957953497e-6
TAP	AAV2_MTP	8.192039792210856e-6	1.170626917895503e-5	4.6778104054666845e-6
TAP	AAVpo1_P4	7.82839304703424e-6	2.2463871627797383e-6	1.3410398931288743e-5
TAP	AAV6shH10	7.641998903851555e-6	7.837566147153951e-6	7.446431660549161e-6
TAP	AAVDJYF	6.553192559507898e-6	3.4124246305444613e-6	9.693960488471335e-6
TAP	AAVAH3-N4	5.836080749423288e-6	5.02385745235647e-6	6.648304046490107e-6
TAP	AAV8_A1	4.908732120955224e-6	4.392358984588206e-6	5.425105257322243e-6
TAP	AAVrh10_A1	4.578670652712153e-6	3.3937514321947558e-6	5.7635898732295495e-6
TAP	AAV9BI	4.299368844928228e-6	2.846217087101972e-6	5.752520602754483e-6
TAP	AAVrh10_P4	4.1759581292927155e-6	3.4215460974115746e-6	4.930370161173857e-6
TAP	AAV8_A2	4.173779578174196e-6	5.160581644871439e-6	3.186977511476953e-6
TAP	AAVJEA3-S7	4.095765992162232e-6	2.073505033850081e-6	6.118026950474384e-6
TAP	AAVAH4-3	3.924315067821195e-6	3.3569124048984873e-6	4.491717730743901e-6
TAP	AAV2_7m8	3.3874976299277467e-6	2.3749538095243864e-6	4.4000414503311065e-6
TAP	AAV3_P4	2.7465631934324216e-6	1.167416427973931e-6	4.3257099588909125e-6
TAP	AAV6.2	2.3145708526856736e-6	1.992445705694024e-6	2.6366959996773236e-6
TAP	AAV5_A1	2.279377608674165e-6	0	4.55875521734833e-6
TAP	AAV1_A1	2.0666166465753085e-6	6.957727149392993e-7	3.437460578211318e-6
TAP	AAVJEA3-S8	1.8160985300258633e-6	0	3.6321970600517267e-6
TAP	AAVDJ	1.7256477228118569e-6	1.7007575779087722e-6	1.7505378677149416e-6
TAP	AAV6_P4	1.2380244955852916e-6	1.3973566087152646e-6	1.0786923824553186e-6
TAP	AAVrh10_A6	1.209714222612674e-6	1.3268661661778668e-6	1.092562279047481e-6
TAP	AAVJEA2-H1	1.0235541783772077e-6	1.2655519551359574e-6	7.815564016184581e-7
TAP	AAV4_L1	8.893437688414214e-7	7.957894212198315e-7	9.828981164630114e-7
TAP	AAVAH4-N1	8.766651311147227e-7	1.7533302622294454e-6	0
TAP	AAV8_P2	8.106842053889745e-7	0	1.621368410777949e-6
TAP	AAVpo1_P5	8.078156012088672e-7	0	1.6156312024177344e-6
TAP	AAVJEA3-H15	7.191564544194593e-7	0	1.4383129088389187e-6
TAP	AAVAH4b-10	6.287575882123956e-7	4.408180883138345e-7	8.166970881109567e-7
TAP	AAVJEA3-D2	6.022376313738919e-7	1.2044752627477839e-6	0
TAP	AAV9K449R_PHP.A	5.825043934181757e-7	0	1.1650087868363514e-6
TAP	AAV9_K3	5.309689446468316e-7	1.0619378892936632e-6	0
TAP	AAVrh10_P2	4.85327837471627e-7	0	9.70655674943254e-7
TAP	AAVJEA2-D7	4.5552827427664783e-7	0	9.110565485532957e-7
TAP	AAV3_P5	3.852310948545969e-7	0	7.704621897091938e-7
TAP	AAVAH3-21	3.7309961004255974e-7	7.461992200851195e-7	0
TAP	AAVAH3-10	2.916598015645331e-7	0	5.833196031290662e-7
TAP	AAVAH4-N11	2.8624565557694545e-7	0	5.724913111538909e-7
TAP	AAV3wt	1.5165525035870405e-7	0	3.033105007174081e-7
TAP	AAVAH3-N5	1.1693468541902268e-7	0	2.3386937083804535e-7
TAP	AAVJEA2-D1	1.1505760328060648e-7	0	2.3011520656121295e-7
TAP	AAV12wt	0	0	0
TAP	AAV2_A2	0	0	0
TAP	AAV2_A6	0	0	0
TAP	AAV2_BR1	0	0	0
TAP	AAV2HBKO	0	0	0
TAP	AAV2_L1	0	0	0
TAP	AAV2_L1mut1	0	0	0
TAP	AAV2_L1mut2	0	0	0
TAP	AAV2_P2	0	0	0
TAP	AAV2_P4	0	0	0
TAP	AAV2_P5	0	0	0
TAP	AAV2YF	0	0	0
TAP	AAV3_A1	0	0	0
TAP	AAV3_A2	0	0	0
TAP	AAV3_A6	0	0	0
TAP	AAV4_A2	0	0	0
TAP	AAV4_A6	0	0	0
TAP	AAV4_P2	0	0	0
TAP	AAV4wt	0	0	0
TAP	AAV5_P4	0	0	0
TAP	AAV5wt	0	0	0
TAP	AAV8_A6	0	0	0
TAP	AAV8wt	0	0	0
TAP	AAV9_BR1	0	0	0
TAP	AAV9_K1	0	0	0
TAP	AAV9K449R_PHP.B	0	0	0
TAP	AAV9K449R_PHP.eB	0	0	0
TAP	AAV9LD	0	0	0
TAP	AAV9_P1	0	0	0
TAP	AAV9_P3	0	0	0
TAP	AAVAH3-17	0	0	0
TAP	AAVAH3-18	0	0	0
TAP	AAVAH3-N1	0	0	0
TAP	AAVAH3-N10	0	0	0
TAP	AAVAH3-N12	0	0	0
TAP	AAVAH3-N2	0	0	0
TAP	AAVAH3-N6	0	0	0
TAP	AAVAH3-N8	0	0	0
TAP	AAVAH3-N9	0	0	0
TAP	AAVAH4-6	0	0	0
TAP	AAVAH4-7	0	0	0
TAP	AAVAH4-N3	0	0	0
TAP	AAVAH4-N5	0	0	0
TAP	AAVAH4-N6	0	0	0
TAP	AAVAH4-N7	0	0	0
TAP	AAVAnc80L65	0	0	0
TAP	AAVJEA2-D10	0	0	0
TAP	AAVJEA2-D16	0	0	0
TAP	AAVJEA2-D3	0	0	0
TAP	AAVJEA2-H2	0	0	0
TAP	AAVJEA2-S11	0	0	0
TAP	AAVJEA3-D12	0	0	0
TAP	AAVJEA3-D16	0	0	0
TAP	AAVJEA3-D20	0	0	0
TAP	AAVJEA3-D4	0	0	0
TAP	AAVJEA3-D5	0	0	0
TAP	AAVJEA3-D7	0	0	0
TAP	AAVJEA3-H13	0	0	0
TAP	AAVJEA3-H19	0	0	0
TAP	AAVJEA3-H20	0	0	0
TAP	AAVJEA3-H3	0	0	0
TAP	AAVJEA3-H5	0	0	0
TAP	AAVJEA3-S1	0	0	0
TAP	AAVJEA3-S10	0	0	0
TAP	AAVJEA3-S2	0	0	0
TAP	AAVJEA3-S4	0	0	0
TAP	AAVJEA3-S5	0	0	0
TAP	AAVLK03	0	0	0
TAP	AAVM41	0	0	0
TAP	AAVpo1_A1	0	0	0
TAP	AAVpo1wt	0	0	0
TAP	AAVrh10_P5	0	0	0
TAP	AAVrh10wt	0	0	0
